Accident_ID,Accident Date,Day_of_Week,Junction_Detail,Accident_Injuries,Light_Conditions,death_toll,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Speed_limit,Hour_of_Accident,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200901BS70001,2021-01-01,Thursday,T or staggered junction,Serious,Daylight,1.0,2.0,Dry,One way street,30.0,15.0,Urban,Fine no high winds,Car
200901BS70002,2021-01-05,Monday,Crossroads,Serious,Daylight,11.0,2.0,Wet or damp,Single carriageway,30.0,10.0,Urban,Fine no high winds,Taxi
200901BS70003,2021-01-04,Sunday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Taxi
200901BS70004,2021-01-05,Monday,T or staggered junction,Serious,Daylight,1.0,2.0,Frost or ice,Single carriageway,30.0,8.0,Urban,Other,Motorcycle
200901BS70005,2021-01-06,Tuesday,Crossroads,Serious,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70006,2021-01-01,Thursday,T or staggered junction,Slight,Daylight,3.0,2.0,Dry,Single carriageway,30.0,11.0,Urban,Fine no high winds,Car
200901BS70007,2021-01-08,Thursday,T or staggered junction,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Motorcycle
200901BS70008,2021-01-02,Friday,Crossroads,Slight,Daylight,1.0,1.0,Dry,Dual carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70009,2021-01-07,Wednesday,T or staggered junction,Slight,Daylight,2.0,1.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Van
200901BS70010,2021-01-10,Saturday,Crossroads,Slight,Daylight,1.0,1.0,Wet or damp,Single carriageway,30.0,9.0,Urban,Other,Car
200901BS70011,2021-01-07,Wednesday,Crossroads,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,0.0,Urban,Fine no high winds,Car
200901BS70012,2021-01-16,Friday,Crossroads,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70015,2021-01-12,Monday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,14.0,Urban,Raining no high winds,Car
200901BS70016,2021-01-09,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,8.0,Urban,Raining no high winds,Car
200901BS70017,2021-01-17,Saturday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70019,2021-01-25,Sunday,Crossroads,Serious,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,22.0,Urban,Fine no high winds,Car
200901BS70020,2021-01-26,Monday,Crossroads,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Van
200901BS70021,2021-01-26,Monday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70023,2021-01-19,Monday,T or staggered junction,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70024,2021-01-27,Tuesday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,0.0,Urban,Fine no high winds,Car
200901BS70025,2021-01-21,Wednesday,T or staggered junction,Slight,Darkness - lights lit,1.0,1.0,Wet or damp,Single carriageway,30.0,23.0,Urban,Raining no high winds,Car
200901BS70026,2021-01-22,Thursday,T or staggered junction,Slight,Darkness - lights lit,1.0,1.0,Wet or damp,Single carriageway,30.0,23.0,Urban,Raining no high winds,Car
200901BS70027,2021-01-31,Saturday,Crossroads,Serious,Daylight,2.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70028,2021-02-03,Tuesday,T or staggered junction,Slight,Daylight,1.0,2.0,Snow,Single carriageway,30.0,13.0,Urban,Other,Car
200901BS70030,2021-01-31,Saturday,T or staggered junction,Slight,Darkness - lights lit,2.0,2.0,Dry,Single carriageway,30.0,22.0,Urban,Fine no high winds,Car
200901BS70031,2021-01-31,Saturday,T or staggered junction,Serious,Daylight,2.0,1.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70032,2021-01-29,Thursday,Crossroads,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70033,2021-01-31,Saturday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,20.0,12.0,Urban,Fine no high winds,Car
200901BS70035,2021-01-29,Thursday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Car
200901BS70036,2021-01-31,Saturday,Crossroads,Slight,Darkness - lights lit,1.0,2.0,Wet or damp,Single carriageway,30.0,1.0,Urban,Fine no high winds,Car
200901BS70037,2021-01-28,Wednesday,T or staggered junction,Slight,Daylight,1.0,1.0,Wet or damp,One way street,30.0,7.0,Urban,Raining no high winds,Car
200901BS70039,2021-01-27,Tuesday,Crossroads,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70040,2021-01-31,Saturday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Dual carriageway,30.0,10.0,Urban,Fine no high winds,Car
200901BS70041,2021-01-22,Thursday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Wet or damp,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70042,2021-01-29,Thursday,T or staggered junction,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,20.0,Urban,Fine no high winds,Car
200901BS70043,2021-01-20,Tuesday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
